"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
participant_id,form_1_registration,,text,"Participant ID",,,,,,y,,,,,,,
f1_initials,form_1_registration,,text,"Participant's initials",,,,,,y,,,,,,,
f1_dob,form_1_registration,,text,"Date of birth",,,date_dmy,,,,,y,,,,,
f1_age,form_1_registration,,calc,Age,"rounddown(datediff([f1_date_consent],[f1_dob],""y"",""dmy""),0)",,,,,,,,,,,,
f1_midwife,form_1_registration,,dropdown,"Recruiting Researcher","1, JDalton | 2, SPahl | 3, SCoat | 4, MViscione",,autocomplete,,,y,,y,,,,,
f1_rcentre,form_1_registration,,dropdown,"Recruiting Centre","1, LMH | 2, WCH",,,,,,,y,,,,,
f1_consent,form_1_registration,,radio,"Patient consent obtained","0, No | 1, Yes",,,,,,,y,,,,,
f1_date_consent,form_1_registration,,text,"Date of consent",,,date_dmy,,,,,,,,,,
f1_consent_reason,form_1_registration,,radio,"Reason if not consented","1, N/A | 2, exclusion criteria | 3, declined | 4, withdrew from study",,,,,,"[f1_consent] = '0'",,,,,,
f1_edd,form_1_registration,"<div style=""font-size: 1.5em""> Participant's E.D.D.",text,E.D.D.,,,date_dmy,,,,,,,,,,
f1_edd_base,form_1_registration,,dropdown,"E.D.D based on","1, LMP | 2, dating scan | 3, NT scan",,,,,,,,,,,,
f1_edd_base_num,form_1_registration,,calc,"EDD based on (num)",[f1_edd_base],,,,,,,,,,,," @HIDDEN"
f1_lmp,form_1_registration,,text,"Calculated LMP",,"Please use final E.D.D. minus 280 days, not participant's recalled L.M.P. This will be used to calculate gestation fields throughout the database.",date_dmy,,,,,,,,,,
f1_gest,form_1_registration,,calc,"Gestational age at consent (wks)","round((datediff([f1_date_consent],[f1_lmp],""d"",""dmy""))/7,2)",,,,,,,,,,,,
f1_email,form_1_registration," <div style=""font-size: 1.5em"">Personal details",text,Email,,,email,,,y,,y,,,,,
f1_phone1,form_1_registration,,text,"Primary Phone Number",,,,,,y,,,,,,,
f1_phone_2,form_1_registration,,text,"Secondary Phone Number",,"home number (0X) XXXX XXXX",phone_australia,,,y,,,,,,,
f2_consent,form_2_consent,,radio,"Consent to taking part in STOP study","0, No | 1, Yes",,,,,,,y,,,,,
f2_research,form_2_consent,"1. Mother's consent form",radio,"<i>Maternal</i> Consent to use samples for collaborative research","0, No | 1, Yes","Mother consent v2, 8b",,,,,,,,,,,
f2_medical,form_2_consent,,radio,"<i>Maternal</i> Consent to medical record audit","0, No | 1, Yes","Mother consent v2, 10",,,,,,,,,,,
f2_mum_followup,form_2_consent,,radio,"<i>Maternal</i> Consent to contact for follow-up studies ","0, No | 1, Yes | 2, Unknown","Mother consent v2, 13",,,,,,,,,,,
f2_baby_collaboration,form_2_consent,"2. Baby's consent form",radio,"<i>Baby</i> Consent to use samples for collaborative research","0, No | 1, Yes","Baby consent v2, 8b",,,,,,,,,,,
f2_baby_audit,form_2_consent,,radio,"<i>Baby</i> Consent to access medical records","0, No | 1, Yes","Baby consent v2, 10",,,,,,,,,,,
f2_baby_followup,form_2_consent,,radio,"<i>Baby</i> Consent to contact for follow-up studies ","0, No | 1, Yes | 2, Unknown","Consent v2, 13",,,,,,,,,,,
f2_baby_18_month,form_2_consent,,radio,"<i>Baby</i> Consent to collect height, weight, immunisation data to 18 months old","0, No | 1, Yes | 2, Unknown","Consent v2, 13",,,,,,,,,,,
f2_partner,form_2_consent,"3. Partner's consent form",radio,"Consent to Partner being contacted","0, No | 1, Yes","If no, record this on Form 11",,,,,,,,,,,
f2_partner_collaboration,form_2_consent,,radio,"<i>Partner</i> Consent to use samples for collaborative research","0, No | 1, Yes","Partner consent v2, 8b",,,,,"[f2_partner] = '1'",,,,,,
f2_partner_followup,form_2_consent,,radio,"<i>Partner</i> Consent to contact for follow-up studies","0, No | 1, Yes | 2, Unknown","Partner consent v2, 12",,,,,"[f2_partner] = '1'",,,,,,
f2_consent_status,form_2_consent,"4. Withdrawal from study",dropdown,"Withdrawn from study","1, no | 2, yes","Only complete if participant consents, then withdraws from study",,,,,,,,,,,
f2_withdrawn_samples,form_2_consent,,yesno,"Consent for biological sample use",,,,,,,"[f2_consent_status] = '2'",,,,,,
f2_withdrawn_records,form_2_consent,,yesno,"Consent for medical records audit",,,,,,,"[f2_consent_status] = '2'",,,,,,
f3_singleton,from_3_exclusion_criteria_other_trials,"1. Inclusion criteria (must be yes)",radio,Singleton,"0, No | 1, Yes",,,,,,,,RH,,,,
f3_nulliparous,from_3_exclusion_criteria_other_trials,,radio,Nulliparous,"0, No | 1, Yes",,,,,,,,RH,,,,
f3_miscarriage_lt3,from_3_exclusion_criteria_other_trials,"2. Exclusion criteria (must be no)",radio,"> 3 miscarriages ","0, No | 1, Yes",,,,,,,,RH,,,,"Excluded if 4 or more miscarriages"
f3_top_lt3,from_3_exclusion_criteria_other_trials,,radio,"> 3 terminations","0, No | 1, Yes",,,,,,,,RH,,,,"Excluded if 4 or more terminations"
f3_maj_fetal_anom,from_3_exclusion_criteria_other_trials,,radio,"Major fetal anomalies","0, No | 1, Yes",,,,,,,,RH,,,,"If fetal abnormalities are know, participant is excluded"
f3_hypertension_med,from_3_exclusion_criteria_other_trials,,radio,"Hypertension pre-pregnancy on medication","0, No | 1, Yes",,,,,,,,RH,,,,
f3_diabetes,from_3_exclusion_criteria_other_trials,,radio,"Type I or II diabetes","0, No | 1, Yes",,,,,,,,RH,,,,
f3_renal,from_3_exclusion_criteria_other_trials,,radio,"Renal disease","0, No | 1, Yes",,,,,,,,RH,,,,
f3_lupus,from_3_exclusion_criteria_other_trials,,radio,"Systemic lupus erythematosus","0, No | 1, Yes",,,,,,,,RH,,,,
f3_antiphosholipid,from_3_exclusion_criteria_other_trials,,radio,"Anti-phospholipid syndrome","0, No | 1, Yes",,,,,,,,RH,,,,
f3_maj_uterine_anom,from_3_exclusion_criteria_other_trials,,radio,"Known major uterine anomaly","0, No | 1, Yes",,,,,,,,RH,,,,
f3_cerv_biopsy,from_3_exclusion_criteria_other_trials,,radio,"Cervical cone biopsy","0, No | 1, Yes",,,,,,,,RH,,,,
f3_trial_enrol,from_3_exclusion_criteria_other_trials,,checkbox,"Enrolled in a trial of:","1, low dose aspirin | 2, calcium >1g/24h | 3, heparin | 4, low molecular weight heparin | 6, antioxidants (vitamin C and E)",,,,,,,,,,,,
f3_trial_name_1,from_3_exclusion_criteria_other_trials,"3. Other Trials enrolled in",text,"Trial Name (eg. ORIP)",,,,,,,,,,,,,
f3_trial_name_1_gest,from_3_exclusion_criteria_other_trials,,text,"Gestation at entry",,w+d,,,,,"[f3_trial_name_1]<> """"",,,,,,
f3_trial_name_2,from_3_exclusion_criteria_other_trials,,text,"Second Trial Name",,,,,,,"[f3_trial_name_1]<> """"",,,,,,
f3_trial_name_2_gest,from_3_exclusion_criteria_other_trials,,text,"Gestation at entry",,w+d,,,,,"[f3_trial_name_2]<> """"",,,,,,
f3_trial_name_3,from_3_exclusion_criteria_other_trials,,text,"Third Trial Name",,,,,,,"[f3_trial_name_1]<> """"",,,,,,
f3_trial_name_3_gest,from_3_exclusion_criteria_other_trials,,text,"Gestation at entry",,w+d,,,,,"[f3_trial_name_3]<> """"",,,,,,
f3_trial_oth,from_3_exclusion_criteria_other_trials,,notes,"More trials (please enter one trial per line):",,"Trial Name (w+d)",,,,,"[f3_trial_name_3]<> """"",,,,,,
f4_marital_status,form_4_demographics,,dropdown,"Marital status","1, Single | 2, Married | 3, De facto (stable relationship, not married) | 4, Separated or divorced | 5, Same sex partner | 6, Widow",,,,,,,,,,,,
f4_country,form_4_demographics,,dropdown,"Country of birth","239, Afghanistan | 240, Albania | 241, Algeria | 242, American Samoa | 243, Andorra | 244, Angola | 245, Anguilla | 246, Antarctica | 247, Antigua and Barbuda | 248, Argentina | 249, Armenia | 250, Aruba | 251, Australia | 252, Austria | 253, Azerbaijan | 254, Bahamas | 255, Bahrain | 256, Bangladesh | 257, Barbados | 258, Belarus | 259, Belgium | 260, Belize | 261, Benin | 262, Bermuda | 263, Bhutan | 264, Bolivia | 265, Bosnia and Herzegovina | 266, Botswana | 267, Bouvet Island | 268, Brazil | 269, British Indian Ocean Territory | 270, Brunei | 271, Bulgaria | 272, Burkina Faso | 273, Burundi | 274, Cambodia | 275, Cameroon | 276, Canada | 277, Cape Verde | 278, Cayman Islands | 279, Central African Republic | 280, Chad | 281, Chile | 282, China | 283, Christmas Island | 284, Cocos (Keeling) Islands | 285, Colombia | 286, Comoros | 287, Republic of the Congo | 288, Congo (DRC) | 289, Cook Islands | 290, Costa Rica | 291, Côte d'Ivoire | 292, Croatia (Hrvatska) | 293, Cuba | 294, Cyprus | 295, Czech Republic | 296, Denmark | 297, Djibouti | 298, Dominica | 299, Dominican Republic | 300, East Timor | 301, Ecuador | 302, Egypt | 303, El Salvador | 304, Equatorial Guinea | 305, Eritrea | 306, Estonia | 307, Ethiopia | 308, Falkland Islands (Islas Malvinas) | 309, Farce Islands | 310, Fiji Islands | 311, Finland | 312, France | 313, French Guiana | 314, French Polynesia | 315, French Southern and Antarctic Lands | 316, Gabon | 317, Gambia | 318, Georgia | 319, Germany | 320, Ghana | 321, Gibraltar | 322, Greece | 323, Greenland | 324, Grenada | 325, Guadeloupe | 326, Guam | 327, Guatemala | 328, Guinea | 329, Guinea-Bissau | 330, Guyana | 331, Haiti | 332, Heard Island and McDonald Islands | 333, Honduras | 334, Hong Kong SAR | 335, Hungary | 336, Iceland | 337, India | 338, Indonesia | 339, Iran | 340, Iraq | 341, Ireland | 342, Israel | 343, Italy | 344, Jamaica | 345, Japan | 346, Jordan | 347, Kazakhstan | 348, Kenya | 349, Kiribati | 350, Korea | 351, Kuwait | 352, Kyrgyzstan | 353, Laos | 354, Latvia | 355, Lebanon | 356, Lesotho | 357, Liberia | 358, Libya | 359, Liechtenstein | 360, Lithuania | 361, Luxembourg | 362, Macau SAR | 363, Macedonia | 364, Madagascar | 365, Malawi | 366, Malaysia | 367, Maldives | 368, Mali | 369, Malta | 370, Marshall Islands | 371, Martinique | 372, Mauritania | 373, Mauritius | 374, Mayotte | 375, Mexico | 376, Micronesia | 377, Moldova | 378, Monaco | 379, Mongolia | 380, Montserrat | 381, Morocco | 382, Mozambique | 383, Myanmar | 384, Namibia | 385, Nauru | 386, Nepal | 387, Netherlands | 388, Netherlands Antilles | 389, New Caledonia | 390, New Zealand | 391, Nicaragua | 392, Niger | 393, Nigeria | 394, Niue | 395, Norfolk Island | 396, North Korea | 397, Northern Mariana Islands | 398, Norway | 399, Oman | 400, Pakistan | 401, Palau | 402, Panama | 403, Papua New Guinea | 404, Paraguay | 405, Peru | 406, Philippines | 407, Pitcairn Islands | 408, Poland | 409, Portugal | 410, Puerto Rico | 411, Qatar | 412, Reunion | 413, Romania | 414, Russia | 415, Rwanda | 416, Samoa | 417, San Marino | 418, São Tomé and Príncipe | 419, Saudi Arabia | 420, Senegal | 421, Seychelles | 422, Sierra Leone | 423, Singapore | 424, Slovakia | 425, Slovenia | 426, Solomon Islands | 427, Somalia | 428, South Africa | 429, South Georgia and the South Sandwich Islands | 430, Spain | 431, Sri Lanka | 432, St. Helena | 433, St. Kitts and Nevis | 434, St. Lucia | 435, St. Pierre and Miquelon | 436, St. Vincent and the Grenadines | 437, Sudan | 438, Suriname | 439, Svalbard and Jan Mayen | 440, Swaziland | 441, Sweden | 442, Switzerland | 443, Syria | 444, Taiwan | 445, Tajikistan | 446, Tanzania | 447, Thailand | 448, Togo | 449, Tokelau | 450, Tonga | 451, Trinidad and Tobago | 452, Tunisia | 453, Turkey | 454, Turkmenistan | 455, Turks and Caicos Islands | 456, Tuvalu | 457, Uganda | 458, Ukraine | 459, United Arab Emirates | 460, United Kingdom | 461, United States | 462, United States Minor Outlying Islands | 463, Uruguay | 464, Uzbekistan | 465, Vanuatu | 466, Vatican City | 467, Venezuela | 468, Vietnam | 469, Virgin Islands | 470, Virgin Islands (British) | 471, Wallis and Futuna | 472, Yemen | 473, Yugoslavia | 474, Zambia | 475, Zimbabwe | 476, Other or unknown.",,autocomplete,,,,,,,,,,
f4_ethnicity,form_4_demographics,,dropdown,Ethnicity,"1, Caucasian | 2, Maori | 3, Pacific Islander | 4, South East and Far East | 5, Indian subcontinent | 6, African subcontinent | 7, Middle-eastern | 8, Hispanic | 9, Aboriginal | 10, China and Japan | 11, other",,autocomplete,,,,,,,,,,
f4_ethnicity_oth,form_4_demographics,,text,"Please specify:",,,,,,,,,,,,,
f4_education,form_4_demographics,,dropdown,"Level of education (completed)","1, Yr. 10 | 2, Yr. 12 | 3, Certificate | 4, Bachelor | 5, Higher degree | 6, did not completed Yr. 10",,,,,,,,,,,,
f4_education_fulltime,form_4_demographics,,text,"Total years of full-time education",,"NOT including reception/prep",number,,,,,,,,,,
f4_education_tertiary,form_4_demographics,,radio,"Tertiary education (university)","1, no | 2, attending | 3, graduated | 4, dropped out",,,,,,,,,,,,
f4_education_tertiary_oth,form_4_demographics,,radio,"Tertiary education (other)","1, no | 2, attending | 3, graduated | 4, dropped out",,,,,,,,,,,,
f4_employ,form_4_demographics,,radio,"Have you been employed for the last 12 months?","0, No | 1, Yes",,,,,,,,,,,,
f4_employ_current,form_4_demographics,,radio,"Current employment","1, none | 2, Student | 3, Casual | 4, Part time | 5, Full-time",,,,,,,,,,,,
f4_occupation,form_4_demographics,,text,"Current Occupation",,,,,,,,,,,,,
f4_income,form_4_demographics,,dropdown,"Household Income (participant + partner)","1, ≤$20,000 | 2, $20,001 - $40,000 | 3, $40,001-$70,000 | 4, $70,001-$105,000 | 5, $105,001-$205,000 | 6, >$205,000",,,,,,,,,,,,
f4_sei_maj,form_4_demographics,,dropdown,"NZ SEI (major group)","1, 0. Armed forces | 2, 1. Legislators, administrators, managers | 3, 2. Professionals | 4, 3. Associate professional/technical | 5, 4. Clerks | 6, 5. Service, sales | 7, 6. Agriculture, fishery | 8, 7. Trade workers | 9, 8. Plant or machine operators | 10, 9. Elementary occupations",,autocomplete,,,,,,,,,,
f4_sei_min,form_4_demographics,,text,"NZ SEI (minor group)",,,integer,,,,,,,,,,
f4_postcode,form_4_demographics,,text,"Post code",,,postalcode_australia,,,,,,,,,,
f4_seifa_irsad,form_4_demographics,,text,"SEIFA - IRSAD",,,integer,,,,,,,,,,
f4_seifa_irsd,form_4_demographics,,text,"SEIFA - IRSD",,,integer,,,,,,,,,,
f4_seifa_ier,form_4_demographics,,text,"SEIFA - IER",,,integer,,,,,,,,,,
f4_seifa_ieo,form_4_demographics,,text,"SEIFA - IEO",,,integer,,,,,,,,,,
f5_bwgt,form_5_maternal_history,"<div style=""font-size: 1.5em"">1. In Utero</div>",text,"Participant's birth weight (g)",,,number,,,,,,,,,,
f5_bwgt_confirm,form_5_maternal_history,,radio,Confirmed?,"0, No | 1, Yes | 2, n/a",,,,,,,,RH,,,,
f5_partner_bwgt,form_5_maternal_history,,text,"Participant's partner's birth weight (g)",,,number,,,,,,,,,,
f5_partner_bwgt_confirm,form_5_maternal_history,,radio,Confirmed?,"0, No | 1, Yes | 2, n/a",,,,,,,,RH,,,,
f5_preterm,form_5_maternal_history,,radio,"Participant born preterm","1, No | 2, Yes | 3, Unknown",,,,,,,,,,,,
f5_gest,form_5_maternal_history,,text,"Participant's gestation at delivery (wks)",,,integer,,,,,,,,,,
f5_gest_confirm,form_5_maternal_history,,radio,Confirmed?,"0, No | 1, Yes | 2, n/a",,,,,,,,RH,,,,
f5_position_fam,form_5_maternal_history,,text,"Participant's position in family",,,integer,,,,,,,,,,
f5_mult_preg,form_5_maternal_history,,radio,"Participant from a multiple pregnancy","1, No | 2, Yes | 3, Unknown",,,,,,,,,,,,
f5_gravidity,form_5_maternal_history,"<div style=""font-size: 1.5em"">2. Obstetric History</div>",text,Gravidity,,"NOT including current pregnancy ",integer,0,4,,,,,,,,
f5_mths_conceive,form_5_maternal_history,,text,"Months to conceive",,"0.03 =1day",number,,,,,,,,,,
f5_cur_part_num,form_5_maternal_history,,text,"Partner number of current pregnancy",,,integer,,,,,,,,,,
ab_f5,form_5_maternal_history,,descriptive,"<hr />",,,,,,,[f5_gravidity]>0,,,,,,
f5_outcome_1,form_5_maternal_history,,dropdown,"Outcome (<em>First Pregnancy</em>)","1, Miscarriage ≤10wks, details unknown | 2, Miscarriage ≤10wks, blighted ovum | 3, Miscarriage ≤10wks, fetal loss | 4, Miscarriage 11-19wks | 5, Termination ≤10wks | 6, Termination 11-19wks | 7, Ectopic pregnancy",,,,,,[f5_gravidity]>0,,,,,,
f5_outcome_1_gest,form_5_maternal_history,,text,"G.A. (wks) (<em>First Pregnancy</em>)",,,integer,,,,[f5_gravidity]>0,,,,,,
f5_outcome_1_dc,form_5_maternal_history,,radio,"D&C (<em>First Pregnancy</em>)","0, No | 1, Yes",,,,,,[f5_gravidity]>0,,RH,,,,
f5_outcome_1_part,form_5_maternal_history,,text,"Partner Number (<em>First Pregnancy</em>)",,,integer,,,,[f5_gravidity]>0,,,,,,
f5_outcome_1_dur,form_5_maternal_history,,text,"Month and Year (<em>First Pregnancy</em>)",,mm/yyyy,,,,,[f5_gravidity]>0,,,,,,
ab_f52_8a9,form_5_maternal_history,,descriptive,"<hr />",,,,,,,[f5_gravidity]>1,,,,,,
f5_outcome_2,form_5_maternal_history,,dropdown,"Outcome (<em>Second Pregnancy</em>)","1, Miscarriage ≤10wks, details unknown | 2, Miscarriage ≤10wks, blighted ovum | 3, Miscarriage ≤10wks, fetal loss | 4, Miscarriage 11-19wks | 5, Termination ≤10wks | 6, Termination 11-19wks | 7, Ectopic pregnancy","Leave blank if none",,,,,[f5_gravidity]>1,,,,,,
f5_outcome_2_gest,form_5_maternal_history,,text,"G.A. (wks) (<em>Second Pregnancy</em>)",,,number,,,,[f5_gravidity]>1,,,,,,
f5_outcome_2_dc,form_5_maternal_history,,radio,"D&C (<em>Second Pregnancy</em>)","0, No | 1, Yes",,,,,,[f5_gravidity]>1,,RH,,,,
f5_outcome_2_part,form_5_maternal_history,,text,"Partner Number (<em>Second Pregnancy</em>)",,,integer,,,,[f5_gravidity]>1,,,,,,
f5_outcome_2_dur,form_5_maternal_history,,text,"Month and Year (<em>Second Pregnancy</em>)",,mm/yyyy,,,,,[f5_gravidity]>1,,,,,,
ab_f52_221,form_5_maternal_history,,descriptive,"<hr />",,,,,,,[f5_gravidity]>2,,,,,,
f5_outcome_3,form_5_maternal_history,,dropdown,"Outcome (<em>Third Pregnancy</em>)","1, Miscarriage ≤10wks, details unknown | 2, Miscarriage ≤10wks, blighted ovum | 3, Miscarriage ≤10wks, fetal loss | 4, Miscarriage 11-19wks | 5, Termination ≤10wks | 6, Termination 11-19wks | 7, Ectopic pregnancy","Leave blank if none",,,,,[f5_gravidity]>2,,,,,,
f5_outcome_3_gest,form_5_maternal_history,,text,"G.A. (wks) (<em>Third Pregnancy</em>)",,,number,,,,[f5_gravidity]>2,,,,,,
f5_outcome_3_dc,form_5_maternal_history,,radio,"D&C (<em>Third Pregnancy</em>)","0, No | 1, Yes",,,,,,[f5_gravidity]>2,,RH,,,,
f5_outcome_3_part,form_5_maternal_history,,text,"Partner Number (<em>Third Pregnancy</em>)",,,integer,,,,[f5_gravidity]>2,,,,,,
f5_outcome_3_dur,form_5_maternal_history,,text,"Month and Year (<em>Third Pregnancy</em>)",,mm/yyyy,,,,,[f5_gravidity]>2,,,,,,
ab_f52_a71,form_5_maternal_history,,descriptive,"<hr />",,,,,,,[f5_gravidity]>3,,,,,,
f5_outcome_4,form_5_maternal_history,,dropdown,"Outcome (<em>Fourth Pregnancy</em>)","1, Miscarriage ≤10wks, details unknown | 2, Miscarriage ≤10wks, blighted ovum | 3, Miscarriage ≤10wks, fetal loss | 4, Miscarriage 11-19wks | 5, Termination ≤10wks | 6, Termination 11-19wks | 7, Ectopic pregnancy","Leave blank if none",,,,,[f5_gravidity]>3,,,,,,
f5_outcome_4_gest,form_5_maternal_history,,text,"G.A. (wks) (<em>Fourth Pregnancy</em>)",,,number,,,,[f5_gravidity]>3,,,,,,
f5_outcome_4_dc,form_5_maternal_history,,radio,"D&C (<em>Fourth Pregnancy</em>)","0, No | 1, Yes",,,,,,[f5_gravidity]>3,,RH,,,,
f5_outcome_4_part,form_5_maternal_history,,text,"Partner Number (<em>Fourth Pregnancy</em>)",,,integer,,,,[f5_gravidity]>3,,,,,,
f5_outcome_4_dur,form_5_maternal_history,,text,"Month and Year (<em>Fourth Pregnancy</em>)",,mm/yyyy,,,,,[f5_gravidity]>3,,,,,,
f5_hx_infertility,form_5_maternal_history,"<div style=""font-size: 1.5em"">3. History of Infertility</div>",radio,"History of infertility","1, No | 2, Yes (>12 months or partner infertile)",,,,,,,,RH,,,,
f5_fertility_tx,form_5_maternal_history,,radio,"Fertility treatment for this pregnancy","0, No | 1, Yes",,,,,,,,RH,,,,
f5_hormonal_tx,form_5_maternal_history,,radio,"Hormonal treatment","1, No | 2, Clomiphene | 3, Other",,,,,,"[f5_fertility_tx] = '1'",,,,,,
f5_hormonal_tx_comment,form_5_maternal_history,,text,"Treatment comment",,,,,,,"[f5_hormonal_tx] = '3'",,,,,,
f5_arti_insem,form_5_maternal_history,,radio,"Artificial insemination (AI)","1, No | 2, Yes, partner sperm | 3, Yes, donor sperm",,,,,,"[f5_fertility_tx] = '1'",,,,,,
f5_ivf,form_5_maternal_history,,radio,"In vitro fertilization (IVF)","1, No | 2, Yes, partner sperm | 3, Yes, donor sperm",,,,,,"[f5_fertility_tx] = '1'",,,,,,
f5_icsi,form_5_maternal_history,,radio,"Intra-cytoplasmic sperm injection (ICSI)","1, No | 2, Yes, partner sperm-seminal fluid | 3, Yes, partner sperm-transcutaneous",,,,,,"[f5_fertility_tx] = '1'",,,,,,
f5_donor_oocyte,form_5_maternal_history,,radio,"Donor oocyte for this conception","1, No | 2, Familial | 3, Non-familial",,,,,,"[f5_fertility_tx] = '1'",,,,,,
f5_menarche,form_5_maternal_history,"<div style=""font-size: 1.5em"">4. Gynaecological History</div>",text,"Age at menarche (yrs)",,,integer,,,,,,,,,,
f5_abn_smear_cin,form_5_maternal_history,,radio,"Abnormal smear or CIN leading to colposcopy","0, No | 1, Yes",,,,,,,,RH,,,,
ab_f5_2,form_5_maternal_history,,descriptive,"<hr />",,,,,,,"[f5_abn_smear_cin] = '1'",,,,,,
f5_tx_1,form_5_maternal_history,,dropdown,"Treatment <em>No. 1</em> ","1, Colposcopy alone | 2, LLETZ | 3, Laser | 4, Cryotherapy | 5, Other",,,,,,"[f5_abn_smear_cin] = '1'",,,,,,
f5_tx_1_other,form_5_maternal_history,,text,"Other treatment (comment)",,,,,,,"[f5_tx_1] = '5'",,,,,,
f5_tx_1_mths,form_5_maternal_history,,radio,"</em>[f5_tx_1]</em> - Last treatment time","1, < 6 months | 2, 6-12 months | 3, >12 months",,,,,,"[f5_abn_smear_cin] = '1'",,,,,,
f5_tx_1_num,form_5_maternal_history,,text,"</em>[f5_tx_1]</em> - No. of treatments",,,integer,,,,"[f5_abn_smear_cin] = '1'",,,,,,
ab_f5_22_cd8,form_5_maternal_history,,descriptive,"<hr />",,,,,,,"[f5_tx_1] <>''",,,,,,
f5_tx_2,form_5_maternal_history,,dropdown,"Treatment <em>No. 2</em>","1, Colposcopy alone | 2, LLETZ | 3, Laser | 4, Cryotherapy | 5, Other","Leave blank if none",,,,,"[f5_tx_1] <>''",,,,,,
f5_tx_2_other,form_5_maternal_history,,text,"Other treatment (comment)",,,,,,,"[f5_tx_2] = '5'",,,,,,
f5_tx_2_mths,form_5_maternal_history,,radio,"</em>[f5_tx_2]</em> - Last treatment time","1, < 6 months | 2, 6-12 months | 3, >12 months",,,,,,"[f5_tx_2] <>''",,,,,,
f5_tx_2_num,form_5_maternal_history,,text,"</em>[f5_tx_2]</em> - No. of treatments",,,integer,,,,"[f5_tx_2] <>''",,,,,,
ab_f5_22_291,form_5_maternal_history,,descriptive,"<hr />",,,,,,,"[f5_tx_2] <>''",,,,,,
f5_tx_3,form_5_maternal_history,,dropdown,"Treatment <em>No. 3</em> ","1, Colposcopy alone | 2, LLETZ | 3, Laser | 4, Cryotherapy | 5, Other","Leave blank if none",,,,,"[f5_tx_2] <>''",,,,,,
f5_tx_3_other,form_5_maternal_history,,text,"Other treatment (comment)",,,,,,,"[f5_tx_3] = '5'",,,,,,
f5_tx_3_mths,form_5_maternal_history,,radio,"</em>[f5_tx_3]</em> - Last treatment time","1, < 6 months | 2, 6-12 months | 3, >12 months",,,,,,"[f5_tx_3] <>''",,,,,,
f5_tx_3_num,form_5_maternal_history,,text,"</em>[f5_tx_3]</em> - No. of treatments",,,integer,,,,"[f5_tx_3] <>''",,,,,,
ab_f5_22_739,form_5_maternal_history,,descriptive,"<hr />",,,,,,,"[f5_tx_3] <>''",,,,,,
